Lesson,단어,단어 뜻,예문 (영어),예문 (한국어)
Lesson 10,when,언제,When is your birthday?,네 생일은 언제니?
Lesson 10,ticket,표,Did you buy the ticket?,너는 표를 샀니?
Lesson 10,circle,동그라미,Draw a circle on the paper.,종이 위에 동그라미를 그려라.
Lesson 10,dress,드레스,Do you have a long dress?,너는 긴 드레스를 가지고 있니?
Lesson 11,visit,방문하다,Sam will visit Ulsan next week.,샘은 다음 주에 울산을 방문할 것이다.
Lesson 11,word,단어,Write the word on the blackboard.,칠판에 단어를 써 봐.
Lesson 11,spell,철자를 쓰다,How do you spell your name?,네 이름은 철자를 어떻게 쓰니?
Lesson 11,scold,야단치다,The teacher is scolding Jake.,선생님이 제이크를 야단치고 계신다.
Lesson 11,live,살다,My uncle lives in Busan.,우리 삼촌은 부산에 사신다.
Lesson 11,India,인도,Is Maria from India?,마리아는 인도에서 왔니?
Lesson 12,pilot,조종사,My uncle was a pilot.,우리 삼촌은 조종사이셨다.
Lesson 12,spaceship,우주선,We can travel by spaceship.,우리는 우주선을 타고 여행할 수 있다.
Lesson 12,air,공기,Is the air cold and dry in winter?,겨울에 공기가 차갑고 건조하니?
Lesson 12,wife,아내,The farmer and his wife had an ox.,농부와 그의 아내는 소 한 마리를 가지고 있었다.
Lesson 12,earth,지구,The earth is getting warmer.,지구가 더 따뜻해지고 있다.
Lesson 13,contest,대회,A fishing contest is interesting.,낚시 대회는 흥미롭다.
Lesson 13,bus,버스,We came home by bus.,우리는 버스를 타고 집에 왔다.
Lesson 13,seat,자리,Is this your seat?,이곳은 네 자리니?
Lesson 13,up,일어서다,"Stand up, please.",일어서 주세요.
Lesson 13,sit,앉다,Don’t sit on the wet bench.,젖은 벤치에 앉지 마.
Lesson 13,police,경찰,The police asked my name.,경찰이 내 이름을 물어 보았다.
Lesson 13,say,말하다,What did Tony say?,토니가 뭐라고 말했니?
Lesson 14,drop,떨어뜨리다,Did you drop the vase?,네가 꽃병을 떨어뜨렸니?
Lesson 14,fire,불,The fire started in the kitchen.,그 불은 부엌에서 시작되었다.
Lesson 14,rock,바위,Falling rocks are dangerous.,떨어지는 바위는 위험하다.
Lesson 14,rich,부유한,The man was rich but not happy.,그 남자는 부유했지만 행복하지 않았다.
Lesson 14,strong,강한,The wind is not strong today.,오늘은 바람이 강하지 않다.
Lesson 14,bomb,폭탄,People are afraid of bombs.,사람들은 폭탄을 두려워한다.
Lesson 14,tell,말하다,Please tell us the truth.,우리에게 진실을 말해 주세요.
Lesson 14,both,둘 다,I miss them both.,나는 그들이 둘 다 그립다.
Lesson 15,concert,연주회,We are going to a concert.,우리는 연주회에 가고 있다.
Lesson 15,ear,귀,His ears are small.,그의 귀는 작다.
Lesson 15,tired,피곤한,Sam was hungry and tired.,샘은 배고프고 피곤했다.
Lesson 15,pain,고통,Do you feel pain in your legs?,당신의 다리에 고통이 있습니까?
Lesson 15,music,음악,Does Chris like music?,크리스는 음악을 좋아하니?
Lesson 15,excellent,훌륭한,Mom’s cake was excellent.,엄마의 케이크는 훌륭했다.
Lesson 15,end,끝나다,The game ends at five.,그 시합은 다섯 시에 끝난다.
Lesson 15,art,예술,French people love art.,프랑스 사람들은 예술을 사랑한다.
Lesson 16,question,질문,Do you have a question?,너는 질문이 있니?
Lesson 16,moon,달,The moon is round.,달이 동그랗다.
Lesson 16,hen,암탉,My grandpa has many hens.,우리 할아버지는 암탉을 많이 가지고 계신다.
Lesson 16,egg,달걀,She needs two eggs.,그녀는 달걀 두 개가 필요하다.
Lesson 16,where,어디에,Where do you live?,너는 어디에 사니?
Lesson 16,do,하다,Kate is doing her homework.,케이트는 숙제를 하고 있다.
Lesson 16,quiet,조용한,Be quiet.,조용히 해.
Lesson 16,cute,귀여운,My brother is cute.,내 남동생은 귀엽다.
Lesson 17,blind,눈이 먼,The dog is helping the blind man.,그 개가 눈이 먼 남자를 돕고 있다.
Lesson 17,palm,손바닥,He wrote something on my palm.,그는 내 손바닥 위에 무엇인가를 썼다.
Lesson 17,lip,입술,Which animals have lips?,어떤 동물이 입술이 있니?
Lesson 17,effort,노력,She put more effort into her studies.,그녀는 공부에 더 많은 노력을 기울였다.
Lesson 17,today,오늘,What day is it today?,오늘이 무슨 요일이니?
Lesson 17,magazine,잡지,I saw her picture in the magazine.,나는 잡지에서 그녀의 사진을 보았다.
Lesson 17,girl,소녀,Mary is a smart girl.,메리는 영리한 소녀다.
Lesson 17,remember,기억하다,I don’t remember her phone number.,나는 그녀의 전화번호가 기억나지 않는다.
Lesson 18,honest,솔직한,Bill is an honest boy.,빌은 솔직한 소년이다.
Lesson 18,reporter,기자,The reporter met a famous artist.,그 기자는 유명한 화가를 만났다.
Lesson 18,television,텔레비전,How long do you watch television a day?,너는 하루에 텔레비전을 얼마나 오래 보니?
Lesson 18,chance,기회,Don’t miss this chance.,이 기회를 놓치지 마.
Lesson 18,baseball,야구,Do they play baseball after school?,그들은 방과 후에 야구를 하니?
Lesson 18,congratulate,축하하다,We congratulated Jack on his new job.,우리는 잭이 새로운 직업을 갖게 된 것을 축하했다.
Lesson 18,고마워,하다,Thank you for the present.,선물 고마워
Lesson 18,staff,직원,The restaurant staff is kind.,그 음식점 직원은 친절하다.
Lesson 19,what,무엇,What does Harry like?,해리는 무엇을 좋아하니?
Lesson 19,again,다시,See you again soon.,곧 다시 봐.
Lesson 19,buy,사다,Mom will buy some cheese.,엄마는 치즈를 조금 사실 것이다.
Lesson 19,kid,아이,The kid is cute.,그 아이는 귀엽다.
Lesson 19,bottle,병,Did you open this bottle?,네가 이 병을 열었니?
Lesson 19,thirsty,목마른,The horses were very thirsty.,그 말들은 매우 목이 말랐다.
Lesson 19,expensive,비싼,Is that watch expensive?,저 손목시계는 비싸니?
Lesson 20,arm,팔,His arms are strong.,그의 팔은 튼튼하다.
Lesson 20,ill,아픈,My grandma is ill.,우리 할머니는 아프시다.
Lesson 20,cook,요리하다,Who is cooking dinner?,누가 저녁을 요리하고 있니?
Lesson 20,hurry,서두르다,"Hurry up, Jake.","서둘러라, 제이크."
Lesson 20,count,세다,She counted the beds.,그녀는 침대 개수를 세었다.
Lesson 20,bread,빵,The bread smells good.,빵 냄새가 좋다.
Lesson 20,meat,고기,Do you sell meat?,고기를 파세요?
Lesson 20,angel,천사,Angels have wings.,천사는 날개를 가지고 있다.
Lesson 21,believe,믿다,I can't believe the news.,나는 그 소식을 믿을 수 없다.
Lesson 21,curious,궁금한,Are you curious about space?,너는 우주에 대해 궁금하니?
Lesson 21,cloth,천,Cover the basket with a wet cloth.,젖은 천으로 바구니를 덮어라.
Lesson 21,kite,연,Flying a kite is exciting.,연을 날리는 것은 신나.
Lesson 21,magic,마술,Daniel showed us some magic tricks.,다니엘은 우리에게 마술 묘기를 보여주었다.
Lesson 21,corn,옥수수,Can you make corn soup?,너는 옥수수 수프를 만들 수 있니?
Lesson 21,amazing,놀라운,The night view is amazing from the building.,그 빌딩의 야경은 놀랍다.
Lesson 22,singer,가수,Do you know the singer?,너는 그 가수를 아니?
Lesson 22,stage,무대,Get off the stage!,무대에서 내려와
Lesson 22,voice,목소리,I can't hear your voice.,나는 네 목소리를 들을 수 없다.
Lesson 22,worry,걱정하다,"Don’t worry, Dad.","아빠, 걱정하지 마세요."
Lesson 22,man,남자,The man is fixing his car.,그 남자는 그의 차를 고치고 있다.
Lesson 22,best,최고의,Who is the best actor?,누가 최고의 배우이니?
Lesson 22,coin,동전,Jenny needs some coins.,제니는 동전이 좀 필요하다.
Lesson 23,sleepy,졸린,I always feel sleepy after lunch.,나는 점심식사 후에 항상 졸리다.
Lesson 23,number,숫자,Can you read the numbers in English?,너는 영어로 그 숫자를 읽을 수 있니?
Lesson 23,9를,더해라,solve,풀다
Lesson 23,explain,설명하다,I’ll explain the rules of this game.,내가 이 게임의 규칙을 설명해 줄게.
Lesson 23,still,여전히,"Are you still hungry, Jim?","너는 여전히 배가 고프니, 짐?"
Lesson 23,simple,간단한,Cooking spaghetti is simple.,스파게티를 요리하는 것은 간단하다.
Lesson 23,talent,재능,He has a talent for music.,그는 음악에 재능이 있다.
Lesson 24,에,반대하여,She is against wearing a fur coat.,그녀는 모피코트를 입는 것에 반대한다.
Lesson 24,island,섬,Nobody lived on the island.,그 섬에 아무도 살지 않았다.
Lesson 24,meal,식사,Do you eat kimchi at every meal?,너는 식사 때마다 김치를 먹니?
Lesson 24,once,한 번,My family goes camping once a month.,우리 가족은 한 달에 한 번 캠핑하러 간다.
Lesson 24,calendar,달력,He marked her birthday on the calendar.,그는 달력에 그녀의 생일을 표시했다.
Lesson 24,waste,낭비하다,Don’t waste your time.,네 시간을 낭비하지 마라.
Lesson 24,vegetable,채소,Are tomatoes vegetables?,토마토는 채소니?
Lesson 24,history,역사,Sue learned American history today.,수는 오늘 미국 역사를 배웠다.
